2023-03-14 13:54:04,970 INFO    StreamThr :27315 [internal.py:wandb_internal():90] W&B internal server running at pid: 27315, started at: 2023-03-14 13:54:04.968077
2023-03-14 13:54:04,977 DEBUG   HandlerThread:27315 [handler.py:handle_request():144] handle_request: status
2023-03-14 13:54:04,984 INFO    WriterThread:27315 [datastore.py:open_for_write():85] open: /home/daniel/Repos/Mujoco_Python_Sandbox/value_gradient/wandb/run-20230314_135404-czgr2inf/run-czgr2inf.wandb
2023-03-14 13:54:04,996 DEBUG   SenderThread:27315 [sender.py:send():336] send: header
2023-03-14 13:54:05,044 DEBUG   SenderThread:27315 [sender.py:send():336] send: run
2023-03-14 13:54:05,921 INFO    SenderThread:27315 [dir_watcher.py:__init__():219] watching files in: /home/daniel/Repos/Mujoco_Python_Sandbox/value_gradient/wandb/run-20230314_135404-czgr2inf/files
2023-03-14 13:54:05,922 INFO    SenderThread:27315 [sender.py:_start_run_threads():1081] run started: czgr2inf with start time 1678802044.959729
2023-03-14 13:54:05,922 DEBUG   SenderThread:27315 [sender.py:send_request():363] send_request: summary_record
2023-03-14 13:54:05,923 INFO    SenderThread:27315 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-03-14 13:54:05,931 DEBUG   HandlerThread:27315 [handler.py:handle_request():144] handle_request: check_version
2023-03-14 13:54:05,933 DEBUG   SenderThread:27315 [sender.py:send_request():363] send_request: check_version
2023-03-14 13:54:06,211 DEBUG   HandlerThread:27315 [handler.py:handle_request():144] handle_request: run_start
2023-03-14 13:54:06,233 DEBUG   HandlerThread:27315 [system_info.py:__init__():31] System info init
2023-03-14 13:54:06,233 DEBUG   HandlerThread:27315 [system_info.py:__init__():46] System info init done
2023-03-14 13:54:06,233 INFO    HandlerThread:27315 [system_monitor.py:start():183] Starting system monitor
2023-03-14 13:54:06,234 INFO    SystemMonitor:27315 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-03-14 13:54:06,236 INFO    HandlerThread:27315 [system_monitor.py:probe():204] Collecting system info
2023-03-14 13:54:06,238 INFO    SystemMonitor:27315 [interfaces.py:start():187] Started cpu monitoring
2023-03-14 13:54:06,240 INFO    SystemMonitor:27315 [interfaces.py:start():187] Started disk monitoring
2023-03-14 13:54:06,244 INFO    SystemMonitor:27315 [interfaces.py:start():187] Started gpu monitoring
2023-03-14 13:54:06,247 INFO    SystemMonitor:27315 [interfaces.py:start():187] Started memory monitoring
2023-03-14 13:54:06,252 INFO    SystemMonitor:27315 [interfaces.py:start():187] Started network monitoring
2023-03-14 13:54:06,307 DEBUG   HandlerThread:27315 [system_info.py:probe():195] Probing system
2023-03-14 13:54:06,324 DEBUG   HandlerThread:27315 [system_info.py:_probe_git():180] Probing git
2023-03-14 13:54:06,376 DEBUG   HandlerThread:27315 [system_info.py:_probe_git():188] Probing git done
2023-03-14 13:54:06,377 DEBUG   HandlerThread:27315 [system_info.py:probe():240] Probing system done
